theta_deg,phi_deg,Etheta_real,Etheta_imag,Ephi_real,Ephi_imag
0,0,1.00000000,0.00000000,0.00000000,0.00000000
0,5,1.00000000,0.00000000,0.00000000,0.00000000
0,10,1.00000000,0.00000000,0.00000000,0.00000000
0,15,1.00000000,0.00000000,0.00000000,0.00000000
0,20,1.00000000,0.00000000,0.00000000,0.00000000
0,25,1.00000000,0.00000000,0.00000000,0.00000000
0,30,1.00000000,0.00000000,0.00000000,0.00000000
0,35,1.00000000,0.00000000,0.00000000,0.00000000
0,40,1.00000000,0.00000000,0.00000000,0.00000000
0,45,1.00000000,0.00000000,0.00000000,0.00000000
0,50,1.00000000,0.00000000,0.00000000,0.00000000
0,55,1.00000000,0.00000000,0.00000000,0.00000000
0,60,1.00000000,0.00000000,0.00000000,0.00000000
0,65,1.00000000,0.00000000,0.00000000,0.00000000
0,70,1.00000000,0.00000000,0.00000000,0.00000000
0,75,1.00000000,0.00000000,0.00000000,0.00000000
0,80,1.00000000,0.00000000,0.00000000,0.00000000
0,85,1.00000000,0.00000000,0.00000000,0.00000000
0,90,1.00000000,0.00000000,0.00000000,0.00000000
0,95,1.00000000,0.00000000,0.00000000,0.00000000
0,100,1.00000000,0.00000000,0.00000000,0.00000000
0,105,1.00000000,0.00000000,0.00000000,0.00000000
0,110,1.00000000,0.00000000,0.00000000,0.00000000
0,115,1.00000000,0.00000000,0.00000000,0.00000000
0,120,1.00000000,0.00000000,0.00000000,0.00000000
0,125,1.00000000,0.00000000,0.00000000,0.00000000
0,130,1.00000000,0.00000000,0.00000000,0.00000000
0,135,1.00000000,0.00000000,0.00000000,0.00000000
0,140,1.00000000,0.00000000,0.00000000,0.00000000
0,145,1.00000000,0.00000000,0.00000000,0.00000000
0,150,1.00000000,0.00000000,0.00000000,0.00000000
0,155,1.00000000,0.00000000,0.00000000,0.00000000
0,160,1.00000000,0.00000000,0.00000000,0.00000000
0,165,1.00000000,0.00000000,0.00000000,0.00000000
0,170,1.00000000,0.00000000,0.00000000,0.00000000
0,175,1.00000000,0.00000000,0.00000000,0.00000000
0,180,1.00000000,0.00000000,0.00000000,0.00000000
0,185,1.00000000,0.00000000,0.00000000,-0.00000000
0,190,1.00000000,0.00000000,0.00000000,-0.00000000
0,195,1.00000000,0.00000000,0.00000000,-0.00000000
0,200,1.00000000,0.00000000,0.00000000,-0.00000000
0,205,1.00000000,0.00000000,0.00000000,-0.00000000
0,210,1.00000000,0.00000000,0.00000000,-0.00000000
0,215,1.00000000,0.00000000,0.00000000,-0.00000000
0,220,1.00000000,0.00000000,0.00000000,-0.00000000
0,225,1.00000000,0.00000000,0.00000000,-0.00000000
0,230,1.00000000,0.00000000,0.00000000,-0.00000000
0,235,1.00000000,0.00000000,0.00000000,-0.00000000
0,240,1.00000000,0.00000000,0.00000000,-0.00000000
0,245,1.00000000,0.00000000,0.00000000,-0.00000000
0,250,1.00000000,0.00000000,0.00000000,-0.00000000
0,255,1.00000000,0.00000000,0.00000000,-0.00000000
0,260,1.00000000,0.00000000,0.00000000,-0.00000000
0,265,1.00000000,0.00000000,0.00000000,-0.00000000
0,270,1.00000000,0.00000000,0.00000000,-0.00000000
0,275,1.00000000,0.00000000,0.00000000,-0.00000000
0,280,1.00000000,0.00000000,0.00000000,-0.00000000
0,285,1.00000000,0.00000000,0.00000000,-0.00000000
0,290,1.00000000,0.00000000,0.00000000,-0.00000000
0,295,1.00000000,0.00000000,0.00000000,-0.00000000
0,300,1.00000000,0.00000000,0.00000000,-0.00000000
0,305,1.00000000,0.00000000,0.00000000,-0.00000000
0,310,1.00000000,0.00000000,0.00000000,-0.00000000
0,315,1.00000000,0.00000000,0.00000000,-0.00000000
0,320,1.00000000,0.00000000,0.00000000,-0.00000000
0,325,1.00000000,0.00000000,0.00000000,-0.00000000
0,330,1.00000000,0.00000000,0.00000000,-0.00000000
0,335,1.00000000,0.00000000,0.00000000,-0.00000000
0,340,1.00000000,0.00000000,0.00000000,-0.00000000
0,345,1.00000000,0.00000000,0.00000000,-0.00000000
0,350,1.00000000,0.00000000,0.00000000,-0.00000000
0,355,1.00000000,0.00000000,0.00000000,-0.00000000
0,360,1.00000000,0.00000000,0.00000000,-0.00000000
2,0,1.00000000,0.00000000,0.00000000,0.00000000
2,5,1.00000000,0.00000000,0.00000000,0.00000000
2,10,1.00000000,0.00000000,0.00000000,0.00000000
2,15,1.00000000,0.00000000,0.00000000,0.00000000
2,20,1.00000000,0.00000000,0.00000000,0.00000000
2,25,1.00000000,0.00000000,0.00000000,0.00000000
2,30,1.00000000,0.00000000,0.00000000,0.00000000
2,35,1.00000000,0.00000000,0.00000000,0.00000000
2,40,1.00000000,0.00000000,0.00000000,0.00000000
2,45,1.00000000,0.00000000,0.00000000,0.00000000
2,50,1.00000000,0.00000000,0.00000000,0.00000000
2,55,1.00000000,0.00000000,0.00000000,0.00000000
2,60,1.00000000,0.00000000,0.00000000,0.00000000
2,65,1.00000000,0.00000000,0.00000000,0.00000000
2,70,1.00000000,0.00000000,0.00000000,0.00000000
2,75,1.00000000,0.00000000,0.00000000,0.00000000
2,80,1.00000000,0.00000000,0.00000000,0.00000000
2,85,1.00000000,0.00000000,0.00000000,0.00000000
2,90,1.00000000,0.00000000,0.00000000,0.00000000
2,95,1.00000000,0.00000000,0.00000000,0.00000000
2,100,1.00000000,0.00000000,0.00000000,0.00000000
2,105,1.00000000,0.00000000,0.00000000,0.00000000
2,110,1.00000000,0.00000000,0.00000000,0.00000000
2,115,1.00000000,0.00000000,0.00000000,0.00000000
2,120,1.00000000,0.00000000,0.00000000,0.00000000
2,125,1.00000000,0.00000000,0.00000000,0.00000000
2,130,1.00000000,0.00000000,0.00000000,0.00000000
2,135,1.00000000,0.00000000,0.00000000,0.00000000
2,140,1.00000000,0.00000000,0.00000000,0.00000000
2,145,1.00000000,0.00000000,0.00000000,0.00000000
2,150,1.00000000,0.00000000,0.00000000,0.00000000
2,155,1.00000000,0.00000000,0.00000000,0.00000000
2,160,1.00000000,0.00000000,0.00000000,0.00000000
2,165,1.00000000,0.00000000,0.00000000,0.00000000
2,170,1.00000000,0.00000000,0.00000000,0.00000000
2,175,1.00000000,0.00000000,0.00000000,0.00000000
2,180,1.00000000,0.00000000,0.00000000,0.00000000
2,185,1.00000000,0.00000000,0.00000000,-0.00000000
2,190,1.00000000,0.00000000,0.00000000,-0.00000000
2,195,1.00000000,0.00000000,0.00000000,-0.00000000
2,200,1.00000000,0.00000000,0.00000000,-0.00000000
2,205,1.00000000,0.00000000,0.00000000,-0.00000000
2,210,1.00000000,0.00000000,0.00000000,-0.00000000
2,215,1.00000000,0.00000000,0.00000000,-0.00000000
2,220,1.00000000,0.00000000,0.00000000,-0.00000000
2,225,1.00000000,0.00000000,0.00000000,-0.00000000
2,230,1.00000000,0.00000000,0.00000000,-0.00000000
2,235,1.00000000,0.00000000,0.00000000,-0.00000000
2,240,1.00000000,0.00000000,0.00000000,-0.00000000
2,245,1.00000000,0.00000000,0.00000000,-0.00000000
2,250,1.00000000,0.00000000,0.00000000,-0.00000000
2,255,1.00000000,0.00000000,0.00000000,-0.00000000
2,260,1.00000000,0.00000000,0.00000000,-0.00000000
2,265,1.00000000,0.00000000,0.00000000,-0.00000000
2,270,1.00000000,0.00000000,0.00000000,-0.00000000
2,275,1.00000000,0.00000000,0.00000000,-0.00000000
2,280,1.00000000,0.00000000,0.00000000,-0.00000000
2,285,1.00000000,0.00000000,0.00000000,-0.00000000
2,290,1.00000000,0.00000000,0.00000000,-0.00000000
2,295,1.00000000,0.00000000,0.00000000,-0.00000000
2,300,1.00000000,0.00000000,0.00000000,-0.00000000
2,305,1.00000000,0.00000000,0.00000000,-0.00000000
