theta_deg,phi_deg,gain_dBi
0,0,15.000000
0,5,15.000000
0,10,15.000000
0,15,15.000000
0,20,15.000000
0,25,15.000000
0,30,15.000000
0,35,15.000000
0,40,15.000000
0,45,15.000000
0,50,15.000000
0,55,15.000000
0,60,15.000000
0,65,15.000000
0,70,15.000000
0,75,15.000000
0,80,15.000000
0,85,15.000000
0,90,15.000000
0,95,15.000000
0,100,15.000000
0,105,15.000000
0,110,15.000000
0,115,15.000000
0,120,15.000000
0,125,15.000000
0,130,15.000000
0,135,15.000000
0,140,15.000000
0,145,15.000000
0,150,15.000000
0,155,15.000000
0,160,15.000000
0,165,15.000000
0,170,15.000000
0,175,15.000000
0,180,15.000000
0,185,15.000000
0,190,15.000000
0,195,15.000000
0,200,15.000000
0,205,15.000000
0,210,15.000000
0,215,15.000000
0,220,15.000000
0,225,15.000000
0,230,15.000000
0,235,15.000000
0,240,15.000000
0,245,15.000000
0,250,15.000000
0,255,15.000000
0,260,15.000000
0,265,15.000000
0,270,15.000000
0,275,15.000000
0,280,15.000000
0,285,15.000000
0,290,15.000000
0,295,15.000000
0,300,15.000000
0,305,15.000000
0,310,15.000000
0,315,15.000000
0,320,15.000000
0,325,15.000000
0,330,15.000000
0,335,15.000000
0,340,15.000000
0,345,15.000000
0,350,15.000000
0,355,15.000000
0,360,15.000000
2,0,14.941779
2,5,14.941779
2,10,14.941779
2,15,14.941779
2,20,14.941779
2,25,14.941779
2,30,14.941779
2,35,14.941779
2,40,14.941779
2,45,14.941779
2,50,14.941779
2,55,14.941779
2,60,14.941779
2,65,14.941779
2,70,14.941779
2,75,14.941779
2,80,14.941779
2,85,14.941779
2,90,14.941779
2,95,14.941779
2,100,14.941779
2,105,14.941779
2,110,14.941779
2,115,14.941779
2,120,14.941779
2,125,14.941779
2,130,14.941779
2,135,14.941779
2,140,14.941779
2,145,14.941779
2,150,14.941779
2,155,14.941779
2,160,14.941779
2,165,14.941779
2,170,14.941779
2,175,14.941779
2,180,14.941779
2,185,14.941779
2,190,14.941779
2,195,14.941779
2,200,14.941779
2,205,14.941779
2,210,14.941779
2,215,14.941779
2,220,14.941779
2,225,14.941779
2,230,14.941779
2,235,14.941779
2,240,14.941779
2,245,14.941779
2,250,14.941779
2,255,14.941779
2,260,14.941779
2,265,14.941779
2,270,14.941779
2,275,14.941779
2,280,14.941779
2,285,14.941779
2,290,14.941779
2,295,14.941779
2,300,14.941779
2,305,14.941779
2,310,14.941779
2,315,14.941779
2,320,14.941779
2,325,14.941779
2,330,14.941779
2,335,14.941779
2,340,14.941779
2,345,14.941779
2,350,14.941779
2,355,14.941779
2,360,14.941779
4,0,14.766974
4,5,14.766974
4,10,14.766974
4,15,14.766974
4,20,14.766974
4,25,14.766974
4,30,14.766974
4,35,14.766974
4,40,14.766974
4,45,14.766974
4,50,14.766974
4,55,14.766974
4,60,14.766974
4,65,14.766974
4,70,14.766974
4,75,14.766974
4,80,14.766974
4,85,14.766974
4,90,14.766974
4,95,14.766974
4,100,14.766974
4,105,14.766974
4,110,14.766974
4,115,14.766974
4,120,14.766974
4,125,14.766974
4,130,14.766974
4,135,14.766974
4,140,14.766974
4,145,14.766974
4,150,14.766974
4,155,14.766974
4,160,14.766974
4,165,14.766974
4,170,14.766974
4,175,14.766974
4,180,14.766974
4,185,14.766974
4,190,14.766974
4,195,14.766974
4,200,14.766974
4,205,14.766974
4,210,14.766974
4,215,14.766974
4,220,14.766974
4,225,14.766974
4,230,14.766974
