theta_deg,phi_deg,Etheta_real,Etheta_imag,Ephi_real,Ephi_imag
0,0,0.99984999,0.00000000,0.01732051,0.00000000
0,5,0.99984999,0.00000000,0.01732051,0.00000000
0,10,0.99984999,0.00000000,0.01732051,0.00000000
0,15,0.99984999,0.00000000,0.01732051,0.00000000
0,20,0.99984999,0.00000000,0.01732051,0.00000000
0,25,0.99984999,0.00000000,0.01732051,0.00000000
0,30,0.99984999,0.00000000,0.01732051,0.00000000
0,35,0.99984999,0.00000000,0.01732051,0.00000000
0,40,0.99984999,0.00000000,0.01732051,0.00000000
0,45,0.99984999,0.00000000,0.01732051,0.00000000
0,50,0.99984999,0.00000000,0.01732051,0.00000000
0,55,0.99984999,0.00000000,0.01732051,0.00000000
0,60,0.99984999,0.00000000,0.01732051,0.00000000
0,65,0.99984999,0.00000000,0.01732051,0.00000000
0,70,0.99984999,0.00000000,0.01732051,0.00000000
0,75,0.99984999,0.00000000,0.01732051,0.00000000
0,80,0.99984999,0.00000000,0.01732051,0.00000000
0,85,0.99984999,0.00000000,0.01732051,0.00000000
0,90,0.99984999,0.00000000,0.01732051,0.00000000
0,95,0.99984999,0.00000000,0.01732051,0.00000000
0,100,0.99984999,0.00000000,0.01732051,0.00000000
0,105,0.99984999,0.00000000,0.01732051,0.00000000
0,110,0.99984999,0.00000000,0.01732051,0.00000000
0,115,0.99984999,0.00000000,0.01732051,0.00000000
0,120,0.99984999,0.00000000,0.01732051,0.00000000
0,125,0.99984999,0.00000000,0.01732051,0.00000000
0,130,0.99984999,0.00000000,0.01732051,0.00000000
0,135,0.99984999,0.00000000,0.01732051,0.00000000
0,140,0.99984999,0.00000000,0.01732051,0.00000000
0,145,0.99984999,0.00000000,0.01732051,0.00000000
0,150,0.99984999,0.00000000,0.01732051,0.00000000
0,155,0.99984999,0.00000000,0.01732051,0.00000000
0,160,0.99984999,0.00000000,0.01732051,0.00000000
0,165,0.99984999,0.00000000,0.01732051,0.00000000
0,170,0.99984999,0.00000000,0.01732051,0.00000000
0,175,0.99984999,0.00000000,0.01732051,0.00000000
0,180,0.99984999,0.00000000,0.01732051,0.00000000
0,185,0.99984999,0.00000000,0.01732051,-0.00000000
0,190,0.99984999,0.00000000,0.01732051,-0.00000000
0,195,0.99984999,0.00000000,0.01732051,-0.00000000
0,200,0.99984999,0.00000000,0.01732051,-0.00000000
0,205,0.99984999,0.00000000,0.01732051,-0.00000000
0,210,0.99984999,0.00000000,0.01732051,-0.00000000
0,215,0.99984999,0.00000000,0.01732051,-0.00000000
0,220,0.99984999,0.00000000,0.01732051,-0.00000000
0,225,0.99984999,0.00000000,0.01732051,-0.00000000
0,230,0.99984999,0.00000000,0.01732051,-0.00000000
0,235,0.99984999,0.00000000,0.01732051,-0.00000000
0,240,0.99984999,0.00000000,0.01732051,-0.00000000
0,245,0.99984999,0.00000000,0.01732051,-0.00000000
0,250,0.99984999,0.00000000,0.01732051,-0.00000000
0,255,0.99984999,0.00000000,0.01732051,-0.00000000
0,260,0.99984999,0.00000000,0.01732051,-0.00000000
0,265,0.99984999,0.00000000,0.01732051,-0.00000000
0,270,0.99984999,0.00000000,0.01732051,-0.00000000
0,275,0.99984999,0.00000000,0.01732051,-0.00000000
0,280,0.99984999,0.00000000,0.01732051,-0.00000000
0,285,0.99984999,0.00000000,0.01732051,-0.00000000
0,290,0.99984999,0.00000000,0.01732051,-0.00000000
0,295,0.99984999,0.00000000,0.01732051,-0.00000000
0,300,0.99984999,0.00000000,0.01732051,-0.00000000
0,305,0.99984999,0.00000000,0.01732051,-0.00000000
0,310,0.99984999,0.00000000,0.01732051,-0.00000000
0,315,0.99984999,0.00000000,0.01732051,-0.00000000
0,320,0.99984999,0.00000000,0.01732051,-0.00000000
0,325,0.99984999,0.00000000,0.01732051,-0.00000000
0,330,0.99984999,0.00000000,0.01732051,-0.00000000
0,335,0.99984999,0.00000000,0.01732051,-0.00000000
0,340,0.99984999,0.00000000,0.01732051,-0.00000000
0,345,0.99984999,0.00000000,0.01732051,-0.00000000
0,350,0.99984999,0.00000000,0.01732051,-0.00000000
0,355,0.99984999,0.00000000,0.01732051,-0.00000000
0,360,0.99984999,0.00000000,0.01732051,-0.00000000
2,0,0.99984694,0.00000000,0.01749542,0.00000000
2,5,0.99984658,0.00000000,0.01751620,0.00008369
2,10,0.99984552,0.00000000,0.01757588,0.00016732
2,15,0.99984390,0.00000000,0.01766683,0.00025068
2,20,0.99984191,0.00000000,0.01777761,0.00033336
2,25,0.99983979,0.00000000,0.01789449,0.00041465
2,30,0.99983781,0.00000000,0.01800322,0.00049359
2,35,0.99983619,0.00000000,0.01809077,0.00056902
2,40,0.99983513,0.00000000,0.01814678,0.00063971
2,45,0.99983476,0.00000000,0.01816461,0.00070448
2,50,0.99983513,0.00000000,0.01814204,0.00076232
2,55,0.99983619,0.00000000,0.01808147,0.00081251
2,60,0.99983781,0.00000000,0.01798969,0.00085471
2,65,0.99983979,0.00000000,0.01787720,0.00088894
2,70,0.99984191,0.00000000,0.01775715,0.00091555
2,75,0.99984390,0.00000000,0.01764384,0.00093515
2,80,0.99984552,0.00000000,0.01755106,0.00094845
2,85,0.99984658,0.00000000,0.01749029,0.00095612
2,90,0.99984694,0.00000000,0.01746914,0.00095862
2,95,0.99984658,0.00000000,0.01749029,0.00095612
2,100,0.99984552,0.00000000,0.01755106,0.00094845
2,105,0.99984390,0.00000000,0.01764384,0.00093515
2,110,0.99984191,0.00000000,0.01775715,0.00091555
2,115,0.99983979,0.00000000,0.01787720,0.00088894
2,120,0.99983781,0.00000000,0.01798969,0.00085471
2,125,0.99983619,0.00000000,0.01808147,0.00081251
2,130,0.99983513,0.00000000,0.01814204,0.00076232
2,135,0.99983476,0.00000000,0.01816461,0.00070448
2,140,0.99983513,0.00000000,0.01814678,0.00063971
2,145,0.99983619,0.00000000,0.01809077,0.00056902
2,150,0.99983781,0.00000000,0.01800322,0.00049359
2,155,0.99983979,0.00000000,0.01789449,0.00041465
2,160,0.99984191,0.00000000,0.01777761,0.00033336
2,165,0.99984390,0.00000000,0.01766683,0.00025068
2,170,0.99984552,0.00000000,0.01757588,0.00016732
2,175,0.99984658,0.00000000,0.01751620,0.00008369
2,180,0.99984694,0.00000000,0.01749542,0.00000000
2,185,0.99984658,0.00000000,0.01751620,-0.00008369
2,190,0.99984552,0.00000000,0.01757588,-0.00016732
2,195,0.99984390,0.00000000,0.01766683,-0.00025068
2,200,0.99984191,0.00000000,0.01777761,-0.00033336
2,205,0.99983979,0.00000000,0.01789449,-0.00041465
2,210,0.99983781,0.00000000,0.01800322,-0.00049359
2,215,0.99983619,0.00000000,0.01809077,-0.00056902
2,220,0.99983513,0.00000000,0.01814678,-0.00063971
2,225,0.99983476,0.00000000,0.01816461,-0.00070448
2,230,0.99983513,0.00000000,0.01814204,-0.00076232
2,235,0.99983619,0.00000000,0.01808147,-0.00081251
2,240,0.99983781,0.00000000,0.01798969,-0.00085471
2,245,0.99983979,0.00000000,0.01787720,-0.00088894
2,250,0.99984191,0.00000000,0.01775715,-0.00091555
2,255,0.99984390,0.00000000,0.01764384,-0.00093515
2,260,0.99984552,0.00000000,0.01755106,-0.00094845
2,265,0.99984658,0.00000000,0.01749029,-0.00095612
2,270,0.99984694,0.00000000,0.01746914,-0.00095862
2,275,0.99984658,0.00000000,0.01749029,-0.00095612
2,280,0.99984552,0.00000000,0.01755106,-0.00094845
2,285,0.99984390,0.00000000,0.01764384,-0.00093515
2,290,0.99984191,0.00000000,0.01775715,-0.00091555
2,295,0.99983979,0.00000000,0.01787720,-0.00088894
2,300,0.99983781,0.00000000,0.01798969,-0.00085471
2,305,0.99983619,0.00000000,0.01808147,-0.00081251
2,310,0.99983513,0.00000000,0.01814204,-0.00076232
2,315,0.99983476,0.00000000,0.01816461,-0.00070448
2,320,0.99983513,0.00000000,0.01814678,-0.00063971
2,325,0.99983619,0.00000000,0.01809077,-0.00056902
2,330,0.99983781,0.00000000,0.01800322,-0.00049359
2,335,0.99983979,0.00000000,0.01789449,-0.00041465
2,340,0.99984191,0.00000000,0.01777761,-0.00033336
2,345,0.99984390,0.00000000,0.01766683,-0.00025068
2,350,0.99984552,0.00000000,0.01757588,-0.00016732
2,355,0.99984658,0.00000000,0.01751620,-0.00008369
2,360,0.99984694,0.00000000,0.01749542,-0.00000000
4,0,0.99983782,0.00000000,0.01800916,0.00000000
4,5,0.99983635,0.00000000,0.01808962,0.00017276
4,10,0.99983213,0.00000000,0.01831918,0.00034860
4,15,0.99982565,0.00000000,0.01866492,0.00052947
4,20,0.99981771,0.00000000,0.01907952,0.00071536
4,25,0.99980926,0.00000000,0.01950953,0.00090409
4,30,0.99980132,0.00000000,0.01990296,0.00109151
4,35,0.99979485,0.00000000,0.02021501,0.00127216
4,40,0.99979062,0.00000000,0.02041178,0.00144003
4,45,0.99978915,0.00000000,0.02047249,0.00158939
4,50,0.99979062,0.00000000,0.02039047,0.00171557
4,55,0.99979485,0.00000000,0.02017346,0.00181559
4,60,0.99980132,0.00000000,0.01984319,0.00188866
4,65,0.99980926,0.00000000,0.01943424,0.00193633
