theta_deg,phi_deg,gain_dBi
0,0,6.000000
0,5,6.000000
0,10,6.000000
0,15,6.000000
0,20,6.000000
0,25,6.000000
0,30,6.000000
0,35,6.000000
0,40,6.000000
0,45,6.000000
0,50,6.000000
0,55,6.000000
0,60,6.000000
0,65,6.000000
0,70,6.000000
0,75,6.000000
0,80,6.000000
0,85,6.000000
0,90,6.000000
0,95,6.000000
0,100,6.000000
0,105,6.000000
0,110,6.000000
0,115,6.000000
0,120,6.000000
0,125,6.000000
0,130,6.000000
0,135,6.000000
0,140,6.000000
0,145,6.000000
0,150,6.000000
0,155,6.000000
0,160,6.000000
0,165,6.000000
0,170,6.000000
0,175,6.000000
0,180,6.000000
0,185,6.000000
0,190,6.000000
0,195,6.000000
0,200,6.000000
0,205,6.000000
0,210,6.000000
0,215,6.000000
0,220,6.000000
0,225,6.000000
0,230,6.000000
0,235,6.000000
0,240,6.000000
0,245,6.000000
0,250,6.000000
0,255,6.000000
0,260,6.000000
0,265,6.000000
0,270,6.000000
0,275,6.000000
0,280,6.000000
0,285,6.000000
0,290,6.000000
0,295,6.000000
0,300,6.000000
0,305,6.000000
0,310,6.000000
0,315,6.000000
0,320,6.000000
0,325,6.000000
0,330,6.000000
0,335,6.000000
0,340,6.000000
0,345,6.000000
0,350,6.000000
0,355,6.000000
0,360,6.000000
2,0,5.992722
2,5,5.992722
2,10,5.992722
2,15,5.992722
2,20,5.992722
2,25,5.992722
2,30,5.992722
2,35,5.992722
2,40,5.992722
2,45,5.992722
2,50,5.992722
2,55,5.992722
2,60,5.992722
2,65,5.992722
2,70,5.992722
2,75,5.992722
2,80,5.992722
2,85,5.992722
2,90,5.992722
2,95,5.992722
2,100,5.992722
2,105,5.992722
2,110,5.992722
2,115,5.992722
2,120,5.992722
2,125,5.992722
2,130,5.992722
2,135,5.992722
2,140,5.992722
2,145,5.992722
2,150,5.992722
2,155,5.992722
2,160,5.992722
2,165,5.992722
2,170,5.992722
2,175,5.992722
2,180,5.992722
2,185,5.992722
2,190,5.992722
2,195,5.992722
2,200,5.992722
2,205,5.992722
2,210,5.992722
2,215,5.992722
2,220,5.992722
2,225,5.992722
2,230,5.992722
2,235,5.992722
2,240,5.992722
2,245,5.992722
2,250,5.992722
2,255,5.992722
2,260,5.992722
2,265,5.992722
2,270,5.992722
2,275,5.992722
2,280,5.992722
2,285,5.992722
2,290,5.992722
2,295,5.992722
2,300,5.992722
2,305,5.992722
2,310,5.992722
2,315,5.992722
2,320,5.992722
2,325,5.992722
2,330,5.992722
2,335,5.992722
2,340,5.992722
2,345,5.992722
2,350,5.992722
2,355,5.992722
2,360,5.992722
4,0,5.970872
4,5,5.970872
4,10,5.970872
4,15,5.970872
4,20,5.970872
4,25,5.970872
4,30,5.970872
4,35,5.970872
4,40,5.970872
4,45,5.970872
4,50,5.970872
4,55,5.970872
4,60,5.970872
4,65,5.970872
4,70,5.970872
4,75,5.970872
4,80,5.970872
4,85,5.970872
4,90,5.970872
4,95,5.970872
4,100,5.970872
4,105,5.970872
4,110,5.970872
4,115,5.970872
4,120,5.970872
4,125,5.970872
4,130,5.970872
4,135,5.970872
4,140,5.970872
4,145,5.970872
4,150,5.970872
4,155,5.970872
4,160,5.970872
4,165,5.970872
