"session_id","experiment","case_id","run_id","config","config_sha256","executable_sha256","started_utc","exit_code","duration_s","path_count","total_power_linear","rms_delay_spread_s","k_factor_dB","xpr_mean_dB","meg_dB"
"20260627T185227Z","E1","ideal","v11_e1_ideal_412","configs/v11_experiments/e1_antenna_model/config_ideal.json","021C4CDD77D65B21308451453FD33C2F5B1DB286BD71A67EE1A90730C3EE6E18","58A49062CC3F9A5309F52F33D5BF097EE4A03C9D6E09B9AF2043BCDC70398F5B","2026-06-27T18:52:27.8185774Z","0","1.391","277","4.96247E-08","3.80792E-09","23.5147","18.2226","0"
"20260627T185227Z","E1","dipole","v11_e1_dipole_412","configs/v11_experiments/e1_antenna_model/config_dipole.json","B4EDE39DDC5E61DCAEA1BA81D8A6D348D6FB3F8B9DEDF7B434B6D6A9D1CA4F93","58A49062CC3F9A5309F52F33D5BF097EE4A03C9D6E09B9AF2043BCDC70398F5B","2026-06-27T18:52:29.2323823Z","0","1.394","277","1.33611E-07","3.77815E-09","23.5855","7.37308","2.13729"
"20260627T185227Z","E1","patch","v11_e1_patch_412","configs/v11_experiments/e1_antenna_model/config_patch.json","D2D528865C7A931EF9259E855D8764358F60806E494223EE2FDBADB3E2939047","58A49062CC3F9A5309F52F33D5BF097EE4A03C9D6E09B9AF2043BCDC70398F5B","2026-06-27T18:52:30.6329338Z","0","1.406","277","7.83014E-07","3.97247E-11","63.1512","18.2226","5.96767"
"20260627T185227Z","E1","horn","v11_e1_horn_412","configs/v11_experiments/e1_antenna_model/config_horn.json","297730F4833BC355E1C41DCEC0B8B16DCF8F811DCBEF7E4F7DB9C4F207E26CF7","58A49062CC3F9A5309F52F33D5BF097EE4A03C9D6E09B9AF2043BCDC70398F5B","2026-06-27T18:52:32.0462030Z","0","1.457","277","4.94048E-05","7.33548E-14","115.526","21.026","14.8076"
"20260627T185227Z","E2","yaw000","v11_e2_yaw000_412","configs/v11_experiments/e2_pose_yaw/config_yaw000.json","559A3E5EB9F28D1E5BE873CD7DDD16B518475C0CA258BB5D97B122A12EBEECC5","58A49062CC3F9A5309F52F33D5BF097EE4A03C9D6E09B9AF2043BCDC70398F5B","2026-06-27T18:52:33.5105632Z","0","1.57","277","7.79885E-07","3.92918E-11","62.9879","11.8199","5.96764"
"20260627T185227Z","E2","yaw030","v11_e2_yaw030_412","configs/v11_experiments/e2_pose_yaw/config_yaw030.json","EE9D074D266B7B962EA51B4414E5E8E969141D35E61A101BEB9434E9F17163DC","58A49062CC3F9A5309F52F33D5BF097EE4A03C9D6E09B9AF2043BCDC70398F5B","2026-06-27T18:52:35.0874941Z","0","1.465","277","5.20946E-07","4.16923E-11","62.4912","9.31052","3.94398"
"20260627T185227Z","E2","yaw060","v11_e2_yaw060_412","configs/v11_experiments/e2_pose_yaw/config_yaw060.json","7B0D930D37BC142D78190185777E7BD34817AB79F32B690FF7F954BF269F3C69","58A49062CC3F9A5309F52F33D5BF097EE4A03C9D6E09B9AF2043BCDC70398F5B","2026-06-27T18:52:36.5590753Z","0","1.473","277","1.13498E-07","8.74366E-11","55.0736","8.12375","-3.25531"
"20260627T185227Z","E2","yaw090","v11_e2_yaw090_412","configs/v11_experiments/e2_pose_yaw/config_yaw090.json","79F6607CCE631DAEE91CCD613CF9BE88014AE48448690DC2AC6A2121591F46C1","58A49062CC3F9A5309F52F33D5BF097EE4A03C9D6E09B9AF2043BCDC70398F5B","2026-06-27T18:52:38.0490015Z","0","1.476","277","1.91656E-10","2.58878E-09","22.493","6.40214","-29.9827"
"20260627T185227Z","E2","yaw120","v11_e2_yaw120_412","configs/v11_experiments/e2_pose_yaw/config_yaw120.json","AA3EE3B775144137E452F2B7BE870FBD550F8E6FF890B135483A47DCB9C11409","58A49062CC3F9A5309F52F33D5BF097EE4A03C9D6E09B9AF2043BCDC70398F5B","2026-06-27T18:52:39.5312871Z","0","1.448","277","1.93259E-10","2.64106E-09","21.147","6.57995","-29.9752"
"20260627T185227Z","E2","yaw150","v11_e2_yaw150_412","configs/v11_experiments/e2_pose_yaw/config_yaw150.json","E5E0FB60B48116A0D7D9AB24FCE606DB3329773644AE1229A4B0EB2AED26A0B4","58A49062CC3F9A5309F52F33D5BF097EE4A03C9D6E09B9AF2043BCDC70398F5B","2026-06-27T18:52:40.9858730Z","0","1.444","277","2.17248E-10","1.73079E-08","9.28769","11.3655","-29.5248"
