group,case_id,run_id,path_count,total_power_w,total_power_dbm,los_power_w,los_power_dbm,nlos_power_w,nlos_power_dbm,rms_delay_spread_ns,k_factor_db,xpr_mean_db,xpr_weighted_db,xpr_aggregate_db,meg_db
E1,ideal,v11_e1_ideal_412,277,4.96247e-08,-43.043021056945896,4.94048e-08,-43.062308544722455,2.19938e-10,-66.57699728508456,3.80792,23.5147,18.2226,59.8018,38.8371,0
E1,dipole,v11_e1_dipole_412,277,1.33611e-07,-38.741577855532576,1.33029e-07,-38.760536735661034,5.82629e-10,-62.34607902429726,3.7781499999999997,23.5855,7.37308,59.7352,26.2328,2.13729
E1,patch,v11_e1_patch_412,277,7.83014e-07,-31.06230472848326,7.83013e-07,-31.062310274932734,3.79004e-13,-94.21356206473193,0.0397247,63.1512,18.2226,60,78.4805,5.96767
E1,horn,v11_e1_horn_412,277,4.94048e-05,-13.062308544722452,4.94048e-05,-13.062308544722452,1.38412e-16,-128.58826255920718,7.33548e-05,115.526,21.026,60,132.731,14.8076
E2,yaw000,v11_e2_yaw000_412,277,7.79885e-07,-31.079694326268786,7.79884e-07,-31.079699894971355,3.91961e-13,-94.0675714299843,0.0392918,62.9879,11.8199,29.9956,29.9955,5.96764
E2,yaw030,v11_e2_yaw030_412,277,5.20946e-07,-32.83207292281021,5.20946e-07,-32.83207292281021,2.93543e-13,-95.32328271605925,0.0416923,62.4912,9.31052,29.9956,29.9946,3.94398
E2,yaw060,v11_e2_yaw060_412,277,1.13498e-07,-39.450117913044856,1.13497e-07,-39.450156177718696,3.52882e-13,-94.52370493807912,0.0874366,55.0736,8.12375,29.9956,29.9918,-3.25531
E2,yaw090,v11_e2_yaw090_412,277,1.91656e-10,-67.17477580134634,1.90583e-10,-67.19915841029616,1.07344e-12,-89.69222225468206,2.58878,22.493,6.40214,29.9464,29.5287,-29.9827
E2,yaw120,v11_e2_yaw120_412,277,1.93259e-10,-67.13860272005634,1.91787e-10,-67.17180834181035,1.47273e-12,-88.31876866367298,2.64106,21.147,6.57995,29.9719,29.5529,-29.9752
E2,yaw150,v11_e2_yaw150_412,277,2.17248e-10,-66.63044213005703,1.94349e-10,-67.11417689638319,2.28989e-11,-76.40185379468154,17.3079,9.28769,11.3655,29.266,28.1602,-29.5248
E2,yaw180,v11_e2_yaw180_412,277,7.01652e-10,-61.53878232532261,1.95898e-10,-67.07969997866405,5.05753e-10,-62.96061532423532,25.8178,-4.11909,11.0085,22.8588,21.3492,-24.4622
E3,fixed_fixed,v11_e3_fixed_fixed_412,277,7.83014e-07,-31.06230472848326,7.83013e-07,-31.062310274932734,3.78381e-13,-94.22070679358842,0.0397248,63.1584,18.2226,60,78.4728,5.96767
E3,jones_fixed,v11_e3_jones_fixed_412,277,7.82231e-07,-31.066649768495466,7.8223e-07,-31.066655320496853,3.7911e-13,-94.21234759790025,0.0394718,63.1457,11.8199,29.9956,29.9955,5.96764
E3,fixed_jones,v11_e3_fixed_jones_412,277,7.82231e-07,-31.066649768495466,7.8223e-07,-31.066655320496853,3.82103e-13,-94.17819552527945,0.039791999999999994,63.1115,18.2226,60,78.4707,5.96767
E3,jones_jones,v11_e3_jones_jones_412,277,7.79885e-07,-31.079694326268786,7.79884e-07,-31.079699894971355,3.93407e-13,-94.05157916825613,0.0392934,62.9719,11.8199,29.9956,29.9955,5.96764
C1,050k,v11_c1_050k_412,160,4.96249e-08,-43.04300355382318,4.94048e-08,-43.062308544722455,2.20069e-10,-66.57441129991567,3.80791,23.5121,14.6979,59.8018,38.8316,0
