id,name,TypeNumber,Frequency(Hz),relativePermittivity,conductivity,relativePermeability,magnetoconductivity,ColorIndex
0,Vacuum(≈ air)[真空（≈ 空气）],0,15000000000,1,0,1,0,9
1,Concrete[水泥],1,15000000000,5.24,0.384220522612383,1,0,10
2,Brick[砖],2,15000000000,3.91,0.0367072253921766,1,0,11
3,Plasterboard[石膏板],3,15000000000,2.73,0.108232244185818,1,0,12
4,Wood[木材],4,15000000000,1.99,0.0856312866191912,1,0,13
5,Glass[玻璃],5,15000000000,6.31,0.135381441227669,1,0,14
6,Ceiling board[天花板],7,15000000000,1.48,0.0202157933107179,1,0,16
7,Chipboard[纤维板],9,15000000000,2.58,0.179395240183135,1,0,18
8,Plywood[胶合板],10,15000000000,2.71,0.33,1,0,19
9,Marble[大理石],11,15000000000,7.074,0.0675551423782148,1,0,20
38,Metal[金属],13,15000000000,1,10000000,1,0,22
