id,name,TypeNumber,Frequency(Hz),relativePermittivity,conductivity,relativePermeability,magnetoconductivity,ColorIndex
0,Vacuum(≈ air)[真空（≈ 空气）],0,4000000000,1,0,1,0,9
1,Concrete[水泥],1,4000000000,5.24,0.136638567653485,1,0,10
2,Brick[砖],2,4000000000,3.91,0.0297102670638584,1,0,11
3,Plasterboard[石膏板],3,4000000000,2.73,0.0312647015691564,1,0,12
4,Wood[木材],4,4000000000,1.99,0.0207675735219236,1,0,13
5,Glass[玻璃],5,4000000000,6.31,0.0230516306908226,1,0,14
6,Ceiling board[天花板],7,4000000000,1.48,0.00488210567709852,1,0,16
7,Chipboard[纤维板],9,4000000000,2.58,0.0639832840304338,1,0,18
8,Plywood[胶合板],10,4000000000,2.71,0.33,1,0,19
9,Marble[大理石],11,4000000000,7.074,0.0198605217467415,1,0,20
10,Metal[金属],13,4000000000,1,10000000,1,0,22
11,Very dry ground[非常干燥的地面],14,4000000000,3,0.00493494636794912,1,0,23
12,Medium dry ground[中等干燥的地面],15,4000000000,13.0582584494419,0.3352940372933,1,0,24
55,Wet ground[潮湿地面],16,4000000000,17.2304753249555,0.909429939906239,1,0,25
