triangleP1Index,triangleP2Index,triangleP3Index,upObjectType,downObjectType,roughness,nx,ny,nz
0,1,2,-999,0,0,0,0,1
0,2,3,-999,0,0,0,0,1
4,5,6,-999,4,0,0,0,1
2,3,7,-999,3,0,0,-1,0
2,7,8,-999,3,0,0,-1,0
2,8,9,-999,3,0,-1,0,0
1,2,9,-999,3,0,-1,0,0
0,1,9,-999,3,0,0,1,0
0,9,10,-999,3,0,0,1,0
0,7,3,-999,3,0,1,0,0
11,12,13,-999,3,0,0,-1,0
0,10,7,-999,3,0,1,0,0
11,14,12,-999,3,0,0,-1,0
12,15,16,-999,3,0,1,0,0
12,14,15,-999,3,0,1,0,0
15,17,18,-999,3,0,0,1,0
15,18,16,-999,3,0,0,1,0
18,19,20,-999,3,0,1,0,0
17,19,18,-999,3,0,1,0,0
21,22,23,-999,3,0,1,0,0
21,24,22,-999,3,0,1,0,0
22,25,23,-999,3,0,0,-1,0
22,26,25,-999,3,0,0,-1,0
25,27,28,-999,3,0,1,0,0
25,26,27,-999,3,0,1,0,0
27,29,28,-999,3,0,0,1,0
27,30,29,-999,3,0,0,1,0
29,30,31,-999,3,0,-1,0,0
29,31,32,-999,3,0,-1,0,0
31,33,32,-999,3,0,0,-1,0
31,34,33,-999,3,0,0,-1,0
33,35,36,-999,3,0,-1,0,0
33,34,35,-999,3,0,-1,0,0
37,38,39,-999,3,0,-1,0,0
38,40,39,-999,3,0,-1,0,0
38,41,40,-999,3,0,0,1,0
38,42,41,-999,3,0,0,1,0
41,43,44,-999,3,0,1,0,0
41,42,43,-999,3,0,1,0,0
45,46,47,-999,3,0,1,0,0
45,48,46,-999,3,0,1,0,0
46,49,47,-999,3,0,0,-1,0
46,50,49,-999,3,0,0,-1,0
51,52,53,-999,3,0,0,1,0
49,53,52,-999,3,0,1,0,0
49,50,53,-999,3,0,1,0,0
51,54,55,-999,3,0,-1,0,0
51,53,56,-999,3,0,0,1,0
51,56,54,-999,3,0,-1,0,0
54,57,55,-999,3,0,0,-1,0
54,58,57,-999,3,0,0,-1,0
57,58,59,-999,3,0,-1,0,0
57,59,60,-999,3,0,-1,0,0
61,62,63,-999,3,0,-1,0,0
