id,name,TypeNumber,Frequency(Hz),relativePermittivity,conductivity,relativePermeability,magnetoconductivity,ColorIndex
0,Vacuum(≈ air)[真空（≈ 空气）],-999,3000000000,1,0,1,0,9
1,Very dry ground[非常干燥的地面],0,3000000000,3,0.002390214,1,0,23
2,Ceiling board[天花板],1,3000000000,1.48,0.003583423,1,0,16
3,Chipboard[纤维板],2,3000000000,2.58,0.051122762,1,0,18
4,Concrete[水泥],3,3000000000,5.24,0.109105394,1,0,10
5,Marble[大理石],4,3000000000,7.074,0.015215015,1,0,20
6,Wood[木材],5,3000000000,1.99,0.015257255,1,0,13
7,Plywood[胶合板],6,3000000000,2.71,0.33,1,0,19
8,Metal[金属],7,3000000000,1,10000000,1,0,22
9,Vacuum(≈ air)[真空（≈ 空气）],-999,4000000000,1,0,1,0,9
10,Very dry ground[非常干燥的地面],0,4000000000,3,0.00493494636794912,1,0,23
11,Ceiling board[天花板],1,4000000000,1.48,0.00488210567709852,1,0,16
12,Chipboard[纤维板],2,4000000000,2.58,0.0639832840304338,1,0,18
13,Concrete[水泥],3,4000000000,5.24,0.136638567653485,1,0,10
14,Marble[大理石],4,4000000000,7.074,0.0198605217467415,1,0,20
15,Wood[木材],5,4000000000,1.99,0.0207675735219236,1,0,13
16,Plywood[胶合板],6,4000000000,2.71,0.33,1,0,19
17,Metal[金属],7,4000000000,1,10000000,1,0,22
18,Vacuum(≈ air)[真空（≈ 空气）],-999,2000000000,1,0,1,0,9
19,Very dry ground[非常干燥的地面],0,2000000000,3,0.000860373148809496,1,0,23
20,Ceiling board[天花板],1,2000000000,1.48,0.00231739427910064,1,0,16
21,Chipboard[纤维板],2,2000000000,2.58,0.0372617399413985,1,0,18
22,Concrete[水泥],3,2000000000,5.24,0.0794525130225031,1,0,10
23,Marble[大理石],4,2000000000,7.074,0.0104514529902343,1,0,20
24,Wood[木材],5,2000000000,1.99,0.00987965563939558,1,0,13
25,Plywood[胶合板],6,2000000000,2.71,0.33,1,0,19
26,Metal[金属],7,2000000000,1,10000000,1,0,22
27,Vacuum(≈ air)[真空（≈ 空气）],-999,1000000000,1,0,1,0,9
28,Very dry ground[非常干燥的地面],0,1000000000,3,0.00015,1,0,23
29,Ceiling board[天花板],1,1000000000,1.48,0.0011,1,0,16
30,Chipboard[纤维板],2,1000000000,2.58,0.0217,1,0,18
31,Concrete[水泥],3,1000000000,5.24,0.0462,1,0,10
32,Marble[大理石],4,1000000000,7.074,0.0055,1,0,20
33,Wood[木材],5,1000000000,1.99,0.0047,1,0,13
34,Plywood[胶合板],6,1000000000,2.71,0.33,1,0,19
35,Metal[金属],7,1000000000,1,10000000,1,0,22
36,Vacuum(≈ air)[真空（≈ 空气）],-999,5000000000,1,0,1,0,9
37,Very dry ground[非常干燥的地面],0,5000000000,3,0.00865955689536282,1,0,23
38,Ceiling board[天花板],1,5000000000,1.48,0.00620562373942212,1,0,16
39,Chipboard[纤维板],2,5000000000,2.58,0.0761476205708028,1,0,18
40,Concrete[水泥],3,5000000000,5.24,0.16269578921069,1,0,10
41,Marble[大理石],4,5000000000,7.074,0.0244201713814393,1,0,20
42,Wood[木材],5,5000000000,1.99,0.0263787315738823,1,0,13
43,Plywood[胶合板],6,5000000000,2.71,0.33,1,0,19
44,Metal[金属],7,5000000000,1,10000000,1,0,22
45,Vacuum(≈ air)[真空（≈ 空气）],-999,10000000000,1,0,1,0,9
46,Very dry ground[非常干燥的地面],0,10000000000,3,0.0496696682223887,1,0,23
47,Ceiling board[天花板],1,10000000000,1.48,0.0130735245018072,1,0,16
48,Chipboard[纤维板],2,10000000000,2.58,0.130755430178136,1,0,18
49,Concrete[水泥],3,10000000000,5.24,0.279796305432224,1,0,10
50,Marble[大理石],4,10000000000,7.074,0.0464047769466506,1,0,20
51,Wood[木材],5,10000000000,1.99,0.0554495285434061,1,0,13
52,Plywood[胶合板],6,10000000000,2.71,0.33,1,0,19
53,Metal[金属],7,10000000000,1,10000000,1,0,22
54,Vacuum(≈ air)[真空（≈ 空气）],-999,15000000000,1,0,1,0,9
55,Very dry ground[非常干燥的地面],0,15000000000,3,0.0496696682223887,1,0,23
56,Ceiling board[天花板],1,15000000000,1.48,0.0202157933107179,1,0,16
57,Chipboard[纤维板],2,15000000000,2.58,0.179395240183135,1,0,18
58,Concrete[水泥],3,15000000000,5.24,0.384220522612383,1,0,10
59,Marble[大理石],4,15000000000,7.074,0.0675551423782148,1,0,20
60,Wood[木材],5,15000000000,1.99,0.0856312866191912,1,0,13
61,Plywood[胶合板],6,15000000000,2.71,0.33,1,0,19
62,Metal[金属],7,15000000000,1,10000000,1,0,22
