triangleP1Index,triangleP2Index,triangleP3Index,upObjectType,downObjectType,roughness,nx,ny,nz
0,1,2,-999,2,0,0,-1,0
0,3,1,-999,2,0,0,-1,0
1,5,4,-999,2,0,1,0,0
1,4,2,-999,2,0,1,0,0
4,6,7,-999,2,0,0,1,0
0,2,4,-999,2,0,0,0,1
4,5,6,-999,2,0,0,1,0
0,4,7,-999,2,0,0,0,1
8,9,10,-999,7,0,0,-1,0
11,12,13,-999,7,0,0,1,0
8,14,9,-999,7,0,0,-1,0
12,15,13,-999,7,0,0,1,0
16,17,18,-999,7,0,0,-1,0
16,19,17,-999,7,0,0,-1,0
20,21,22,-999,7,0,0,1,0
20,23,21,-999,7,0,0,1,0
24,25,26,-999,7,0,0,-1,0
24,27,25,-999,7,0,0,-1,0
28,29,30,-999,7,0,0,1,0
28,30,31,-999,7,0,0,1,0
32,33,34,-999,7,0,-1,0,0
32,35,33,-999,7,0,-1,0,0
36,37,38,-999,7,0,1,0,0
37,39,38,-999,7,0,1,0,0
40,41,42,-999,7,0,0,-1,0
41,43,42,-999,7,0,0,-1,0
44,45,46,-999,7,0,0,1,0
44,47,45,-999,7,0,0,1,0
48,49,50,-999,7,0,0,-1,0
48,50,51,-999,7,0,0,-1,0
52,53,54,-999,7,0,0,1,0
52,55,53,-999,7,0,0,1,0
56,57,58,-999,7,0,0,1,0
56,59,57,-999,7,0,0,1,0
60,61,62,-999,7,0,0,-1,0
61,63,62,-999,7,0,0,-1,0
64,65,66,-999,5,0,-1,0,0
64,67,65,-999,5,0,-1,0,0
65,68,69,-999,5,0,0,-1,0
65,67,68,-999,5,0,0,-1,0
68,71,70,-999,5,0,1,0,0
68,70,69,-999,5,0,1,0,0
64,70,71,-999,5,0,0,1,0
65,69,70,-999,5,0,0,0,1
65,70,66,-999,5,0,0,0,1
72,73,74,-999,5,0,1,0,0
72,75,73,-999,5,0,1,0,0
73,76,77,-999,5,0,0,1,0
76,78,77,-999,5,0,-1,0,0
73,75,76,-999,5,0,0,1,0
76,79,78,-999,5,0,-1,0,0
72,78,79,-999,5,0,0,-1,0
73,77,78,-999,5,0,0,0,1
80,81,82,-999,4,0,0,0,1
80,82,83,-999,4,0,0,0,1
84,85,86,-999,5,0,1,0,0
73,78,74,-999,5,0,0,0,1
84,87,85,-999,5,0,1,0,0
84,88,89,-999,5,0,0,1,0
84,86,88,-999,5,0,0,1,0
88,90,89,-999,5,0,-1,0,0
85,87,90,-999,5,0,0,-1,0
88,91,90,-999,5,0,-1,0,0
84,90,87,-999,5,0,0,0,1
85,90,91,-999,5,0,0,-1,0
84,89,90,-999,5,0,0,0,1
92,93,94,-999,5,0,1,0,0
92,95,93,-999,5,0,1,0,0
92,96,97,-999,5,0,0,1,0
96,98,97,-999,5,0,-1,0,0
93,95,98,-999,5,0,0,-1,0
93,98,99,-999,5,0,0,-1,0
92,94,96,-999,5,0,0,1,0
92,97,98,-999,5,0,0,0,1
100,101,102,-999,5,0,1,0,0
96,99,98,-999,5,0,-1,0,0
100,103,101,-999,5,0,1,0,0
100,104,105,-999,5,0,0,1,0
100,102,104,-999,5,0,0,1,0
104,106,105,-999,5,0,-1,0,0
101,103,106,-999,5,0,0,-1,0
101,106,107,-999,5,0,0,-1,0
104,107,106,-999,5,0,-1,0,0
92,98,95,-999,5,0,0,0,1
100,105,106,-999,5,0,0,0,1
108,109,110,-999,5,0,1,0,0
108,111,109,-999,5,0,1,0,0
108,112,113,-999,5,0,0,1,0
108,110,112,-999,5,0,0,1,0
100,106,103,-999,5,0,0,0,1
112,114,113,-999,5,0,-1,0,0
112,115,114,-999,5,0,-1,0,0
109,114,115,-999,5,0,0,-1,0
109,111,114,-999,5,0,0,-1,0
108,114,111,-999,5,0,0,0,1
108,113,114,-999,5,0,0,0,1
116,117,118,-999,5,0,1,0,0
116,119,117,-999,5,0,1,0,0
116,120,121,-999,5,0,0,1,0
116,118,120,-999,5,0,0,1,0
120,122,121,-999,5,0,-1,0,0
120,123,122,-999,5,0,-1,0,0
117,119,122,-999,5,0,0,-1,0
117,122,123,-999,5,0,0,-1,0
116,122,119,-999,5,0,0,0,1
124,125,126,-999,5,0,1,0,0
116,121,122,-999,5,0,0,0,1
124,127,125,-999,5,0,1,0,0
125,129,128,-999,5,0,0,1,0
125,128,126,-999,5,0,0,1,0
128,129,130,-999,5,0,-1,0,0
128,130,131,-999,5,0,-1,0,0
124,130,127,-999,5,0,0,-1,0
124,131,130,-999,5,0,0,-1,0
124,126,128,-999,5,0,0,0,1
124,128,131,-999,5,0,0,0,1
132,133,134,-999,5,0,1,0,0
132,134,135,-999,5,0,1,0,0
134,136,135,-999,5,0,0,1,0
134,137,136,-999,5,0,0,1,0
136,137,138,-999,5,0,-1,0,0
136,138,139,-999,5,0,-1,0,0
132,139,138,-999,5,0,0,-1,0
132,135,136,-999,5,0,0,0,1
132,136,139,-999,5,0,0,0,1
64,66,70,-999,5,0,0,1,0
140,141,142,-999,5,0,-1,0,0
140,143,144,-999,5,0,0,-1,0
140,142,145,-999,5,0,-1,0,0
132,138,133,-999,5,0,0,-1,0
140,145,143,-999,5,0,0,-1,0
143,147,146,-999,5,0,1,0,0
143,146,144,-999,5,0,1,0,0
141,146,142,-999,5,0,0,1,0
142,146,147,-999,5,0,0,1,0
140,144,146,-999,5,0,0,0,1
72,74,78,-999,5,0,0,-1,0
140,146,141,-999,5,0,0,0,1
148,149,150,-999,5,0,1,0,0
148,151,149,-999,5,0,1,0,0
148,152,153,-999,5,0,0,1,0
148,150,152,-999,5,0,0,1,0
152,154,153,-999,5,0,-1,0,0
152,155,154,-999,5,0,-1,0,0
149,151,154,-999,5,0,0,-1,0
149,154,155,-999,5,0,0,-1,0
148,154,151,-999,5,0,0,0,1
148,153,154,-999,5,0,0,0,1
156,157,158,-999,5,0,-1,0,0
156,158,159,-999,5,0,-1,0,0
156,159,160,-999,5,0,0,-1,0
156,160,161,-999,5,0,0,-1,0
160,163,162,-999,5,0,1,0,0
160,162,161,-999,5,0,1,0,0
157,162,158,-999,5,0,0,1,0
158,162,163,-999,5,0,0,1,0
156,161,162,-999,5,0,0,0,1
164,165,166,-999,5,0,0,1,0
156,162,157,-999,5,0,0,0,1
164,167,165,-999,5,0,0,1,0
168,169,170,-999,5,0,0,-1,0
165,169,168,-999,5,0,-1,0,0
168,170,171,-999,5,0,0,-1,0
165,168,166,-999,5,0,-1,0,0
164,170,167,-999,5,0,1,0,0
164,171,170,-999,5,0,1,0,0
164,168,171,-999,5,0,0,0,1
164,166,168,-999,5,0,0,0,1
172,173,174,-999,5,0,0,1,0
172,175,173,-999,5,0,0,1,0
173,177,176,-999,5,0,-1,0,0
176,177,178,-999,5,0,0,-1,0
172,178,175,-999,5,0,1,0,0
173,176,174,-999,5,0,-1,0,0
176,178,179,-999,5,0,0,-1,0
172,179,178,-999,5,0,1,0,0
172,176,179,-999,5,0,0,0,1
172,174,176,-999,5,0,0,0,1
180,181,182,-999,6,0,0,-1,0
180,183,181,-999,6,0,0,-1,0
181,185,184,-999,6,0,1,0,0
181,184,182,-999,6,0,1,0,0
184,187,186,-999,6,0,0,1,0
184,185,187,-999,6,0,0,1,0
180,186,187,-999,6,0,-1,0,0
180,187,183,-999,6,0,-1,0,0
182,184,186,-999,6,0,0,0,1
180,182,186,-999,6,0,0,0,1
188,189,190,-999,6,0,0,-1,0
189,191,190,-999,6,0,0,-1,0
190,192,193,-999,6,0,1,0,0
192,194,193,-999,6,0,0,1,0
193,194,195,-999,6,0,0,1,0
189,195,194,-999,6,0,-1,0,0
189,194,191,-999,6,0,-1,0,0
196,197,198,-999,6,0,1,0,0
188,193,189,-999,6,0,0,0,1
189,193,195,-999,6,0,0,0,1
196,198,199,-999,6,0,1,0,0
196,200,201,-999,6,0,0,1,0
196,199,200,-999,6,0,0,1,0
200,202,201,-999,6,0,-1,0,0
200,203,202,-999,6,0,-1,0,0
197,202,198,-999,6,0,0,-1,0
198,202,203,-999,6,0,0,-1,0
196,202,197,-999,6,0,0,0,1
196,201,202,-999,6,0,0,0,1
204,205,206,-999,6,0,0,1,0
204,207,205,-999,6,0,0,1,0
205,209,208,-999,6,0,-1,0,0
205,208,206,-999,6,0,-1,0,0
208,210,211,-999,6,0,0,-1,0
208,209,210,-999,6,0,0,-1,0
204,210,207,-999,6,0,1,0,0
204,211,210,-999,6,0,1,0,0
204,208,211,-999,6,0,0,0,1
204,206,208,-999,6,0,0,0,1
212,213,214,-999,4,0,1,0,0
212,215,213,-999,4,0,1,0,0
212,216,217,-999,4,0,0,1,0
216,218,217,-999,4,0,-1,0,0
188,190,193,-999,6,0,1,0,0
216,219,218,-999,4,0,-1,0,0
213,215,218,-999,4,0,0,-1,0
212,218,215,-999,4,0,0,0,1
212,217,218,-999,4,0,0,0,1
220,221,222,-999,4,0,1,0,0
213,218,219,-999,4,0,0,-1,0
220,223,221,-999,4,0,1,0,0
220,224,225,-999,4,0,0,1,0
220,222,224,-999,4,0,0,1,0
212,214,216,-999,4,0,0,1,0
224,226,225,-999,4,0,-1,0,0
224,227,226,-999,4,0,-1,0,0
221,223,226,-999,4,0,0,-1,0
221,226,227,-999,4,0,0,-1,0
220,226,223,-999,4,0,0,0,1
228,229,230,-999,4,0,1,0,0
228,231,229,-999,4,0,1,0,0
228,232,233,-999,4,0,0,1,0
228,230,232,-999,4,0,0,1,0
232,234,233,-999,4,0,-1,0,0
232,235,234,-999,4,0,-1,0,0
229,231,234,-999,4,0,0,-1,0
229,234,235,-999,4,0,0,-1,0
228,234,231,-999,4,0,0,0,1
228,233,234,-999,4,0,0,0,1
236,237,238,-999,4,0,1,0,0
236,239,237,-999,4,0,1,0,0
236,240,241,-999,4,0,0,1,0
236,238,240,-999,4,0,0,1,0
240,242,241,-999,4,0,-1,0,0
240,243,242,-999,4,0,-1,0,0
237,239,242,-999,4,0,0,-1,0
237,242,243,-999,4,0,0,-1,0
236,242,239,-999,4,0,0,0,1
38,39,244,-999,3,0,0,1,0
38,244,245,-999,3,0,0,1,0
33,246,247,-999,3,0,0,1,0
236,241,242,-999,4,0,0,0,1
33,35,246,-999,3,0,0,1,0
246,248,247,-999,3,0,-1,0,0
246,249,248,-999,3,0,-1,0,0
248,250,251,-999,3,0,0,1,0
248,249,250,-999,3,0,0,1,0
30,251,250,-999,3,0,-1,0,0
30,250,31,-999,3,0,-1,0,0
25,252,26,-999,3,0,-1,0,0
25,253,252,-999,3,0,-1,0,0
252,255,254,-999,3,0,0,-1,0
252,253,255,-999,3,0,0,-1,0
244,255,245,-999,3,0,1,0,0
244,254,255,-999,3,0,1,0,0
256,257,258,-999,3,0,0,-1,0
256,259,257,-999,3,0,0,-1,0
24,257,27,-999,3,0,1,0,0
24,258,257,-999,3,0,1,0,0
28,261,260,-999,3,0,1,0,0
28,260,29,-999,3,0,1,0,0
260,262,263,-999,3,0,0,1,0
260,261,262,-999,3,0,0,1,0
3,264,262,-999,3,0,1,0,0
0,7,265,-999,3,0,1,0,0
262,264,263,-999,3,0,1,0,0
0,265,264,-999,3,0,1,0,0
6,266,267,-999,3,0,1,0,0
6,267,265,-999,3,0,1,0,0
267,269,268,-999,3,0,0,-1,0
266,269,267,-999,3,0,0,-1,0
32,34,270,-999,3,0,0,-1,0
50,269,51,-999,3,0,1,0,0
50,268,269,-999,3,0,1,0,0
53,272,271,-999,3,0,1,0,0
271,273,274,-999,3,0,0,1,0
53,271,54,-999,3,0,1,0,0
